id,title,description,availability,condition,price,link,image_link,brand,google_product_category
client-contracts,The Proposal & Contract Kit,"One form produces the proposal, the services agreement, the change order and the emails that carry them, so the figures always agree. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/client-contracts,https://paystack.shop/mosh-digital-studios/mockups/client-contracts/square.png,MOSH Digital Studios,Software
invoice-automation,Invoice & Payment Automation,"An invoice that adds up to the cent, due dates derived from your stated terms, a chase sequence that writes its own emails, and a live picture of what you are owed. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/invoice-automation,https://paystack.shop/mosh-digital-studios/mockups/invoice-automation/square.png,MOSH Digital Studios,Software
marketing-toolkit,The Digital Marketing Toolkits,"Prospect scoring, five outreach scripts, an eight-step production workflow with real timings, six priced packages and the retention behaviours — as tools, not prose. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/marketing-toolkit,https://paystack.shop/mosh-digital-studios/mockups/marketing-toolkit/square.png,MOSH Digital Studios,Software
automation-kits,AI Automation Kits,"A thirty-minute audit script, ten ranked automation templates, a five-part proposal and the ROI arithmetic — as one pipeline instead of six lists. Works offline, no account, one payment.",in stock,new,740 GHS,https://paystack.shop/mosh-digital-studios/products/automation-kits,https://paystack.shop/mosh-digital-studios/mockups/automation-kits/square.png,MOSH Digital Studios,Software
business-dashboards,Business Dashboard Templates,"Starts from the smallest set of numbers you will realistically write down each week and derives everything else — with the formulas and a spreadsheet to graduate into. Works offline, no account, one payment.",in stock,new,370 GHS,https://paystack.shop/mosh-digital-studios/products/business-dashboards,https://paystack.shop/mosh-digital-studios/mockups/business-dashboards/square.png,MOSH Digital Studios,Software
meta-ads,Meta Ads & Pixel Blueprints,"The tracking code, the event map, the campaign structure — and the arithmetic that decides whether any of it can work at the budget you actually have. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/meta-ads,https://paystack.shop/mosh-digital-studios/mockups/meta-ads/square.png,MOSH Digital Studios,Software
seo-content,SEO & Content Marketing Systems,"Keyword selection, clustering, internal linking and structured data, plus the arithmetic that says whether a content programme ever repays what it costs. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/seo-content,https://paystack.shop/mosh-digital-studios/mockups/seo-content/square.png,MOSH Digital Studios,Software
email-marketing,Email Marketing Automation,"A calendar, a launch sequence, subscriber value arithmetic, and the model of what mailing everyone does to the people who still read you. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/email-marketing,https://paystack.shop/mosh-digital-studios/mockups/email-marketing/square.png,MOSH Digital Studios,Software
social-automation,Social Media Content Automation,"Reconciles what you promised to post, what your source material can yield, and how many hours you have — before week three empties the calendar. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/social-automation,https://paystack.shop/mosh-digital-studios/mockups/social-automation/square.png,MOSH Digital Studios,Software
youtube-toolkit,The Faceless YouTube Toolkits,"Niche scoring out of 21, a ten-step production workflow with its prompts, a Shorts strategy, a five-layer monetisation stack and the month-by-month income curve. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/youtube-toolkit,https://paystack.shop/mosh-digital-studios/mockups/youtube-toolkit/square.png,MOSH Digital Studios,Software
website-prompts,AI Website Prompt Kit,"Works out what an AI site builder must be told before the first message, writes the prompts from your answers, and prices what the missing answers cost in redos. Works offline, no account, one payment.",in stock,new,370 GHS,https://paystack.shop/mosh-digital-studios/products/website-prompts,https://paystack.shop/mosh-digital-studios/mockups/website-prompts/square.png,MOSH Digital Studios,Software
local-business-templates,Local Business Website Studio,"Builds a complete one-page site for twelve local trades and exports it as one self-contained HTML file you can hand over or host anywhere. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/local-business-templates,https://paystack.shop/mosh-digital-studios/mockups/local-business-templates/square.png,MOSH Digital Studios,Software
support-agent,AI Customer Support Agent,"Decides which messages an agent should answer, what it must be told, what it must never say — and how often it has to be right before it saves any money. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/support-agent,https://paystack.shop/mosh-digital-studios/mockups/support-agent/square.png,MOSH Digital Studios,Software
appointment-booking,AI Appointment Booking System,"A timezone-correct availability engine, the agent's prompt and tools generated from your own services and policies, and a simulator that books against the real engine. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/appointment-booking,https://paystack.shop/mosh-digital-studios/mockups/appointment-booking/square.png,MOSH Digital Studios,Software
whatsapp-sales,WhatsApp AI Sales Assistant,"Turns 'we should put AI on our WhatsApp' into a build spec: qualification playbook, prompt, templates checked against platform rules, and the cost model. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/whatsapp-sales,https://paystack.shop/mosh-digital-studios/mockups/whatsapp-sales/square.png,MOSH Digital Studios,Software
real-estate-agent,AI Real Estate Agent,"Which enquiries the assistant answers first, what it asks, what it must never say, and whether the arithmetic works at your lead volume — with a fair-housing checker. Works offline, no account, one payment.",in stock,new,740 GHS,https://paystack.shop/mosh-digital-studios/products/real-estate-agent,https://paystack.shop/mosh-digital-studios/mockups/real-estate-agent/square.png,MOSH Digital Studios,Software
website-crm,AI Website + CRM Automation,"The site page by page, the CRM pipeline stage by stage, the tool stack with its running cost — and, per automation, whether your volume pays for building it. Works offline, no account, one payment.",in stock,new,740 GHS,https://paystack.shop/mosh-digital-studios/products/website-crm,https://paystack.shop/mosh-digital-studios/mockups/website-crm/square.png,MOSH Digital Studios,Software
order-automation,E-Commerce Order Automation,"Costs an order desk minute by minute, ranks every automation by how fast it repays, turns exception handling into arithmetic, and exports the runbook. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/order-automation,https://paystack.shop/mosh-digital-studios/mockups/order-automation/square.png,MOSH Digital Studios,Software
commercial-kits,AI Commercial Production Kits,"One brief becomes a production kit — script with beat timings, shot list with risk flags, generation prompts, deliverable specs and a clearance checklist. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/commercial-kits,https://paystack.shop/mosh-digital-studios/mockups/commercial-kits/square.png,MOSH Digital Studios,Software
billionaire-structures,Billionaire Structures Guide,"33 holding structures with who controls them, who pays the tax and what happens at death — each priced, and given a verdict against your own numbers. Works offline, no account, one payment.",in stock,new,870 GHS,https://paystack.shop/mosh-digital-studios/products/billionaire-structures,https://paystack.shop/mosh-digital-studios/mockups/billionaire-structures/square.png,MOSH Digital Studios,Software
real-estate-calculator,Real Estate Calculator,"What a deal really costs to buy, what a lender will really lend, what the tenant leaves after tax, and how wrong your assumptions can be before it stops working. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/real-estate-calculator,https://paystack.shop/mosh-digital-studios/mockups/real-estate-calculator/square.png,MOSH Digital Studios,Software
farmers-companion,Farmer's Companion,"Which crop on which plot, planted when, watered and fed with what — ranked against whatever actually runs out first: labour, water or cash. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/farmers-companion,https://paystack.shop/mosh-digital-studios/mockups/farmers-companion/square.png,MOSH Digital Studios,Software
workbook,Star Explorers — Interactive Workbook for Kids,"Counting, maths, phonics, patterns, shapes, memory and a doodle pad for ages 4–8 — offline, with no ads, no accounts and no data leaving the device. Works offline, no account, one payment.",in stock,new,180 GHS,https://paystack.shop/mosh-digital-studios/products/workbook,https://paystack.shop/mosh-digital-studios/mockups/workbook/square.png,MOSH Digital Studios,Software
examace-ghana,ExamAce Ghana — EdTech Site Template,"A five-page marketing site and student-dashboard prototype for an exam-prep subscription — no images, no web fonts, no framework, nothing to block on. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/examace-ghana,https://paystack.shop/mosh-digital-studios/mockups/examace-ghana/square.png,MOSH Digital Studios,Software
