Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
product-factory,,,,,,,Licence,Studio licence,PRODUCTFACTORY-STUDIO,0,,continue,manual,148,FALSE,TRUE,,,,,,
product-factory,,,,,,,Licence,Agency licence,PRODUCTFACTORY-AGENCY,0,,continue,manual,295,FALSE,TRUE,,,,,,
board-of-directors,CLEAR AI Board of Directors,"<p><strong>Fifteen seats score your decision against your own numbers, argue with each other, simulate three years of downside, and return a verdict that can be no.</strong></p>
<h3>The problem</h3>
<p>The prompt &#39;act as a board of directors and advise me&#39; is one of the most copied on the internet, and it fails in a specific way: fifteen enthusiastic paragraphs that agree with each other and with you. It looks like scrutiny; it functions as flattery. Three things are missing — arithmetic, disagreement, and honesty about the quality of your inputs.</p>
<p>It deals specifically with:</p>
<ul><li>AI advice that never computes LTV against CAC, capacity against breakeven, or runway against time-to-revenue</li><li>Advisors who agree with each other because they are one advisor wearing fifteen hats</li><li>Confidence scores that treat a guess and a measured figure as the same evidence</li><li>Plans that fail on the two things nobody calculates: capacity below breakeven, and runway shorter than time to first revenue</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone about to commit real money or real months to something hard to undo</li><li>Founders who have to convince a partner, a lender or an internal approver</li><li>People who have noticed that &#39;act as my board of directors&#39; produces applause</li></ul>
<h3>What you get</h3>
<ul><li>Brief and Numbers — the CLEAR intake plus ~35 inputs with twelve derived metrics updating live</li><li>Board — fifteen director reports, each scoring against its own mandate only</li><li>Debate — the collisions between seats, with the chair&#39;s ruling on each</li><li>Risk — three 36-month cash simulations and a ranked pre-mortem</li><li>Resolution — verdict, weighted vote, blocking findings and the conditions attached</li><li>Roadmap — 30/90/365-day plans with nine KPIs targeted from your own figures</li><li>Minutes — the whole deliberation as roughly 28,000 characters of Markdown</li><li>Agent pack — the same fifteen seats as a custom GPT, Claude Project, Gemini Gem or API call</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and click Example to load a real worked decision first.</li><li>Clear it, then fill in the Brief and the Numbers. Rough figures are fine — tag them GUESSED and the board discounts its own confidence.</li><li>Read the Debate tab before the Resolution. The disagreements are the thinking.</li><li>If it blocks, note which finding did it and what would change that vote.</li><li>Export the Minutes. Re-run in 90 days with measured figures and compare.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A verdict with the blocking findings named, not a score with a smile</li><li>The exact list of which of your numbers must be wrong for you to be right</li><li>A written record you can hand to whoever has to approve the decision</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone who wants it to say yes</li><li>Regulated financial, legal or tax advice — buy an hour with a professional instead</li></ul>
<h3>What it cannot do</h3>
<p>Six findings are treated as blocking and no director who raises one may also report a comfortable score. It cannot verify any number you enter, and says so.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"business decision tool, board of directors, unit economics, risk analysis, founder tools, decision framework, pre-mortem, runway calculator, custom gpt, offline app",TRUE,Licence,Solo licence,BOARDOFDIRECTORS-SOLO,0,,continue,manual,49,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/board-of-directors/square.png,1,"CLEAR AI Board of Directors — Fifteen directors, allowed to say no","CLEAR AI Board of Directors — Fifteen directors, allowed to say no","Fifteen seats score your decision against your own numbers, argue with each other, simulate three years of downside, and return a verdict that can be no.",active
board-of-directors,,,,,,,Licence,Studio licence,BOARDOFDIRECTORS-STUDIO,0,,continue,manual,123,FALSE,TRUE,,,,,,
board-of-directors,,,,,,,Licence,Agency licence,BOARDOFDIRECTORS-AGENCY,0,,continue,manual,245,FALSE,TRUE,,,,,,
ebook,The AI Income Blueprint — Interactive Edition,"<p><strong>All 17 chapters with highlighting, notes, inline quizzes, action-step tracking, full-text search and Markdown export. Offline, no account.</strong></p>
<h3>The problem</h3>
<p>A book you read once changes nothing. The action steps are the point, and they live at the end of chapters you have already closed — so the highlights end up in one app, the notes in another, and the seventeen action steps nowhere at all. This is the book rebuilt as the thing you actually work in.</p>
<p>It deals specifically with:</p>
<ul><li>Highlights and notes scattered across three apps and a notebook</li><li>Action steps read and never done</li><li>No way to check whether a chapter actually landed</li><li>Reading apps that need an account, a network and 40MB of fonts</li></ul>
<h3>Who it is for</h3>
<ul><li>Readers who annotate and then lose the annotations</li><li>Anyone working through the book on a phone with metered data</li><li>People who want the book and the exercises in the same place</li></ul>
<h3>What you get</h3>
<ul><li>Every chapter in full, with its key takeaways, case study and action step</li><li>Highlight any passage and attach a note; every note in one panel with jump links</li><li>Action steps as checkboxes with a free-text answer each</li><li>The 28 knowledge-check questions inline, scored and retryable</li><li>Per-chapter and per-part progress, with a ring in the header</li><li>Full-text search with snippets, three themes, adjustable typography</li><li>Export everything you wrote as one Markdown file</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html. It works on a phone, on a plane, at 2% battery.</li><li>Read normally. Select any sentence to highlight it; click the highlight to add a note.</li><li>Answer each chapter&#39;s action step in the box rather than in your head.</li><li>Take the knowledge check before moving on. Retry it until it is boring.</li><li>Export to Markdown whenever you want your notes somewhere else.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>Seventeen action steps with your answers, in a file you keep</li><li>A quiz score per chapter, so &#39;I read it&#39; becomes checkable</li><li>Your entire annotation set exportable in one click</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone who only wants the PDF to skim — the paperback experience is not the point</li><li>Readers who need audio; there is no narration</li></ul>
<h3>What it cannot do</h3>
<p>Everything is stored in your own browser. Nothing is uploaded, and there is no account to make.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"ai income blueprint, interactive ebook, book with quizzes, highlights and notes, offline reader, self study, action steps, markdown export, business book, no account",TRUE,Licence,Solo licence,EBOOK-SOLO,0,,continue,manual,19,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/ebook/square.png,1,"The AI Income Blueprint — Interactive Edition — The whole book, as something you work in","The AI Income Blueprint — Interactive Edition — The whole book, as…","All 17 chapters with highlighting, notes, inline quizzes, action-step tracking, full-text search and Markdown export. Offline, no account.",active
ebook,,,,,,,Licence,Studio licence,EBOOK-STUDIO,0,,continue,manual,48,FALSE,TRUE,,,,,,
ebook,,,,,,,Licence,Agency licence,EBOOK-AGENCY,0,,continue,manual,95,FALSE,TRUE,,,,,,
gpt,Digital Product Studio — custom GPT,"<p><strong>Paste-ready instructions, configuration and knowledge file for a ChatGPT custom GPT that takes you from &#39;I don&#39;t know what to sell&#39; to a listed product.</strong></p>
<h3>The problem</h3>
<p>Ask a general chat model about digital products and you get the same eight bullet points everyone else gets, with a confident tone and no method underneath. It will never tell you the idea is bad, because nothing in its instructions permits that. A custom GPT with a real method, hard floors and a knowledge file behaves differently — but writing those three files is a day&#39;s work most people never do.</p>
<p>It deals specifically with:</p>
<ul><li>Generic AI business advice with no validation step in it</li><li>Re-pasting your context at the start of every conversation</li><li>An assistant that cannot say &#39;do not build this&#39;</li><li>Pricing suggestions pulled from nowhere</li></ul>
<h3>Who it is for</h3>
<ul><li>ChatGPT Plus users who want one assistant that knows a method rather than generic advice</li><li>Anyone who keeps re-explaining their business at the start of every chat</li><li>People who want the validation gate available in conversation</li></ul>
<h3>What you get</h3>
<ul><li>instructions.txt — the system instructions, written to sit just under the 8,000-character field limit</li><li>configuration.md — every other field: name, description, conversation starters, capabilities, publishing settings</li><li>knowledge/digital-product-playbook.md — the reference file: pricing tables, platform comparison, validation methods, income projections</li><li>A ten-minute setup guide with the exact clicks</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open README.md and follow the ten-minute setup.</li><li>Create a GPT at chatgpt.com/gpts/editor and switch straight to the Configure tab.</li><li>Paste instructions.txt into Instructions and the fields from configuration.md into their boxes.</li><li>Upload knowledge/digital-product-playbook.md as a knowledge file.</li><li>Test it with an idea you already know is bad and check that it says so.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A working custom GPT in about ten minutes</li><li>An assistant that runs the 3 Criteria and the 30-Minute Validation Method rather than improvising</li><li>Advice that matches one documented method instead of the average of the internet</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone without ChatGPT Plus, Pro, Team or Enterprise — custom GPTs require a paid plan</li><li>People expecting the GPT to build the product for them</li></ul>
<h3>What it cannot do</h3>
<p>These are configuration files, not software. What the model does with them depends on the model, and OpenAI changes it without asking either of us.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"custom gpt, chatgpt, digital product, gpt instructions, ai assistant setup, knowledge file, product validation, prompt engineering, gpt configuration, no code",TRUE,Licence,Solo licence,GPT-SOLO,0,,continue,manual,24,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/gpt/square.png,1,Digital Product Studio — custom GPT — A GPT that argues with your product idea,Digital Product Studio — custom GPT — A GPT that argues with your…,"Paste-ready instructions, configuration and knowledge file for a ChatGPT custom GPT that takes you from 'I don't know what to sell' to a listed product.",active
gpt,,,,,,,Licence,Studio licence,GPT-STUDIO,0,,continue,manual,60,FALSE,TRUE,,,,,,
gpt,,,,,,,Licence,Agency licence,GPT-AGENCY,0,,continue,manual,120,FALSE,TRUE,,,,,,
packaging-agent,MOSH Packaging Agent,"<p><strong>Turns one finished asset into the whole commercial package: four priced tiers, ~50 files, four marketplace listings, 120 keywords, 50 posts and a launch plan, as a ZIP.</strong></p>
<h3>The problem</h3>
<p>An AI output is not a product. The gap between the two is not creativity, it is a list of specific artefacts: a licence saying what a buyer may resell, a price that sits somewhere defensible, a file list published before payment, a paragraph naming what the thing cannot do. That list is finite, nearly identical for every digital product, and writing it by hand for the fourth time is the reason most finished assets never get listed.</p>
<p>It deals specifically with:</p>
<ul><li>Finished work that never ships because packaging it is a day of tedium</li><li>Listings rewritten from scratch for each marketplace and truncated on paste</li><li>Prices picked by feel, with no tier structure underneath them</li><li>No licence — the most common cause of a resale dispute</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone with finished assets sitting in a folder, unlisted</li><li>Studios shipping more than one product a month</li><li>Sellers who have written the same licence and listing four times</li></ul>
<h3>What you get</h3>
<ul><li>A monetisation score on the asset before anything else is generated</li><li>Descriptions written to exact word counts, plus four priced tiers in dollars and cedis</li><li>~50 files across a ten-folder structure — five of them typeset as real PDFs in the browser</li><li>Listings for Gumroad, Selar, Paystack and Shopify with every character limit enforced</li><li>120 keywords, 50 social posts, a five-step funnel and a launch plan</li><li>Everything downloadable as one ZIP, plus a separate customer ZIP per tier</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and fill in the ten fields about one finished asset.</li><li>Read the monetisation score before generating. A low score is information, not an obstacle.</li><li>Generate, then read the descriptions and edit the claims — it knows only what you typed.</li><li>Download the full ZIP for yourself and the per-tier customer ZIP for buyers.</li><li>Paste each marketplace listing into its platform; the character counts already fit.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A folder you could upload to a marketplace this afternoon</li><li>The same ten inputs always produce the same fifty files — a listing you approved on Monday is the listing that ships</li><li>One folder it deliberately leaves empty, because it has never seen your product</li></ul>
<h3>Do not buy this if</h3>
<ul><li>People without a finished asset — it packages, it does not create</li><li>Anyone expecting it to describe features it was never told about</li></ul>
<h3>What it cannot do</h3>
<p>Nothing is sampled from a model, so output is deterministic. It has never seen your product and says so in the one folder it cannot fill.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"digital product packaging, product listing generator, gumroad listing, selar, licence template, product tiers, launch plan, marketplace seo, zip export, offline app",TRUE,Licence,Solo licence,PACKAGINGAGENT-SOLO,0,,continue,manual,69,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/packaging-agent/square.png,1,"MOSH Packaging Agent — Ten fields in, a sellable product out","MOSH Packaging Agent — Ten fields in, a sellable product out","Turns one finished asset into the whole commercial package: four priced tiers, ~50 files, four marketplace listings, 120 keywords, 50 posts and a launch…",active
packaging-agent,,,,,,,Licence,Studio licence,PACKAGINGAGENT-STUDIO,0,,continue,manual,173,FALSE,TRUE,,,,,,
packaging-agent,,,,,,,Licence,Agency licence,PACKAGINGAGENT-AGENCY,0,,continue,manual,345,FALSE,TRUE,,,,,,
